loss,epochs,top13_ns,batch_size,latent_dim,model_type,phi_hidden,rho_hidden,learning_rate,_runtime,_wandb,run_name,run_id,state,num_workers,_step,_timestamp,epoch,train_loss,val_loss,val_p_alt_auc,val_p_main_auc,val_every,test_loss,test_p_alt_auc,test_p_main_auc,test_mean_brier,test_mean_mae,test_p_alt_brier,test_p_alt_mae,test_p_main_brier,test_p_main_mae,val_mean_brier,val_mean_mae,val_p_alt_brier,val_p_alt_mae,val_p_main_brier,val_p_main_mae,test_event_main_accuracy,test_mean_auc,test_mse,val_event_main_accuracy,val_mean_auc,val_mse,seed,loss_name,scheduler,max_epochs,pin_memory,weight_decay,cudnn_benchmark,scheduler_t_max,scheduler_factor,scheduler_min_lr,scheduler_patience,early_stopping_metric,early_stopping_patience,best_epoch,best_val_event_main_accuracy
,100.0,,256,256,,128,32,0.0003,10679.0,{'runtime': 10679},blooming-sweep-13,fls91oet,finished,4.0,100.0,1781240632.2100549,100.0,0.3366415962598184,0.338503254588392,0.8255572230571759,0.9475474536580916,,0.3395721551723735,0.8259526084608204,0.9466855756517828,0.10485468059778214,0.21424561738967896,0.12032780051231384,0.2470710724592209,0.08938156068325043,0.18142017722129825,0.10451376438140868,0.21370871365070343,0.1204710528254509,0.24712960422039032,0.08855648338794708,0.18028782308101657,0.7305851514716813,0.8863190920563017,0.10485468059778214,0.7316708180644488,0.8865523383576337,0.1045137569308281,,,,,,,,,,,,,,,
,100.0,,512,16,,32,32,0.0001,9562.0,{'runtime': 9562},smart-sweep-14,ev50nzr1,finished,4.0,100.0,1781250207.7593813,100.0,0.4205693612794508,0.41991918697953223,0.8022365648975298,0.8671926762870742,,0.4208806111415227,0.8022681213929959,0.8657395243403467,0.13626062870025635,0.27333465218544006,0.13256721198558807,0.26392579078674316,0.13995404541492462,0.28274351358413696,0.1359473615884781,0.2727188467979431,0.13270042836666107,0.26381805539131165,0.1391942948102951,0.2816196084022522,0.7315730102632986,0.8340038228666713,0.13626062870025635,0.7329129771390566,0.834714620592302,0.1359473615884781,,,,,,,,,,,,,,,
,100.0,,512,16,,32,32,0.0003,9549.0,{'runtime': 9549},sleek-sweep-15,hcnxx8yo,finished,4.0,100.0,1781259761.982747,100.0,0.3890527790580185,0.38819336399436,0.809614260686558,0.907905010878728,,0.3891204715271791,0.8099697361231197,0.906631379776694,0.12384003400802612,0.25073206424713135,0.1276567131280899,0.2587261199951172,0.12002335488796234,0.24273799359798431,0.12355341762304306,0.25011125206947327,0.12793384492397308,0.25873053073883057,0.11917299032211304,0.24149198830127716,0.7271618784314237,0.8583005579499069,0.12384004145860672,0.7279736831809706,0.8587596357826429,0.12355341762304306,,,,,,,,,,,,,,,
,100.0,,256,128,,64,32,0.0003,10504.0,{'runtime': 10504},faithful-sweep-16,rg8bpeq5,finished,4.0,100.0,1781270273.9004695,100.0,0.3490210574797124,0.34926567095533023,0.8241630176281591,0.9394953990000614,,0.34981779335338536,0.8250057869129949,0.9387172000610836,0.1087632104754448,0.2236379086971283,0.12087748199701308,0.24803565442562103,0.0966489389538765,0.19924016296863556,0.10863463580608368,0.2233081161975861,0.12121867388486862,0.24820248782634735,0.09605059772729874,0.19841374456882477,0.7285474889477185,0.8818614934870392,0.1087632030248642,0.7296787991810226,0.8818292083141103,0.10863463580608368,,,,,,,,,,,,,,,
,100.0,,256,32,,128,32,0.0001,10483.0,{'runtime': 10483},flowing-sweep-17,rh5eqgiu,finished,4.0,100.0,1781280770.1804793,100.0,0.3841759398398396,0.38386328283501625,0.8119083268553875,0.9119940359451124,,0.38451059690806344,0.8124357680945005,0.9110313996709332,0.12235691398382188,0.24726611375808716,0.12724947929382324,0.25724732875823975,0.1174643486738205,0.23728489875793457,0.12210406363010406,0.24670229852199552,0.1274830847978592,0.2572416365146637,0.11672503501176834,0.2361629605293274,0.7278530535595519,0.8617335838827169,0.12235690653324129,0.7295679503397191,0.8619511814002498,0.12210405617952348,,,,,,,,,,,,,,,
,100.0,,512,32,,128,64,0.001,9305.0,{'runtime': 9305},atomic-sweep-18,wrij86n5,finished,4.0,100.0,1781290080.8529994,100.0,0.3352666883189791,0.33664448087414106,0.8392417177368818,0.9445900747049124,,0.3367841230829557,0.8397081982698459,0.9443248655003004,0.10379979759454729,0.20926602184772491,0.11577733606100082,0.22959004342556,0.09182225912809372,0.18894200026988983,0.10375294089317322,0.2089958488941193,0.11598595231771468,0.22970592975616455,0.09151993691921234,0.1882857531309128,0.7302884678081923,0.892016531885073,0.10379979759454729,0.7311752585386211,0.8919158962208971,0.1037529483437538,,,,,,,,,,,,,,,
,100.0,,512,64,,128,128,0.0001,9488.0,{'runtime': 9488},noble-sweep-19,51mwyes2,finished,4.0,100.0,1781299582.357386,100.0,0.3437993218735905,0.3440919484694799,0.8405137365635207,0.9364249222368732,,0.34488005528847376,0.8408630237382159,0.935645714293516,0.10762079060077669,0.21968059241771695,0.11580976098775864,0.2378428280353546,0.09943181276321413,0.20151835680007937,0.10735327005386353,0.2191789746284485,0.11594301462173462,0.23790976405143735,0.09876353293657304,0.2004482001066208,0.7303830153493043,0.888254369015866,0.10762078315019608,0.7314752024621484,0.8884693294001971,0.10735327005386353,,,,,,,,,,,,,,,
,100.0,,512,64,,32,64,0.0001,9379.0,{'runtime': 9379},stellar-sweep-20,j3wrik73,finished,4.0,100.0,1781308976.3757374,100.0,0.3708538949937268,0.3708189841111501,0.8227827332293054,0.9192560663356896,,0.3717901166280111,0.8233630598136527,0.9181372595189956,0.11718420684337616,0.2364451289176941,0.1217602789402008,0.24786141514778137,0.11260813474655151,0.2250288277864456,0.11685293912887572,0.2359384000301361,0.12194894999265672,0.24786420166492465,0.11175692081451416,0.2240125983953476,0.7275824519763696,0.8707501596663241,0.11718420684337616,0.7287072416895971,0.8710193997824975,0.11685293912887572,,,,,,,,,,,,,,,
,,,512,128,,512,256,1.0453658778440104e-05,3172.0,{'runtime': 3172},ld128_phi512_rho256_lr0.0001_bs512_seed3,tices4qv,finished,4.0,32.0,1781551724.9711058,32.0,0.3597412757117179,0.36034318591157594,0.83207833125326,0.925586704727838,,0.36104912648598353,0.8327036603371152,0.9247233904992213,0.11346054822206496,0.2303773537278175,0.11907482892274857,0.23974864184856415,0.10784626752138138,0.22100606560707092,0.11325505375862122,0.22989381849765775,0.11932748556137084,0.23985224962234497,0.10718262195587158,0.21993538737297055,0.729682059441061,0.8787135254181682,0.11346054822206496,0.7305851514716813,0.8788325179905491,0.1132550612092018,3.0,masked_bce,cosine,400.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,30.0,1.0,0.7321565968101615
,,,512,256,,256,128,1.25e-05,3308.0,{'runtime': 3308},ld256_phi256_rho128_lr0.0001_bs512_seed2,ienxhs4t,finished,4.0,34.0,1781555044.7598343,34.0,0.3822361813892793,0.38219762628277143,0.8166929051940901,0.9112886033750488,,0.3827479125062624,0.8172571350912246,0.9103402888286314,0.12165481597185136,0.2484280914068222,0.12540777027606964,0.2544808089733124,0.11790186166763306,0.24237537384033203,0.12147464230656624,0.24798905104398727,0.1256970763206482,0.25456780195236206,0.11725220829248428,0.2414103001356125,0.7294603617584539,0.863798711959928,0.12165482342243196,0.7298972366035915,0.8639907542845695,0.12147464603185654,2.0,masked_bce,reduce_on_plateau,400.0,True,0.0001,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,30.0,3.0,0.7329064566189799
,,,512,64,,256,512,5e-05,1643.0,{'runtime': 1643},ld64_phi256_rho512_lr0.0001_bs512_seed2,j7f0brhg,finished,4.0,16.0,1781556681.2401974,17.0,0.3770778182472964,0.3767879883448283,0.821744136866979,0.9141130753119038,,,,,,,,,,,0.11954342573881148,0.2429162561893463,0.1238137260079384,0.24979296326637268,0.1152731254696846,0.23603954911231995,,,,0.7298776750433614,0.8679286060894413,0.1195434182882309,2.0,masked_bce,reduce_on_plateau,400.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,30.0,,
,,,512,64,,128,128,1.46484375e-06,9778.0,{'runtime': 9778},ld64_phi128_rho128_lr0.003_bs512_seed3,6yquvta8,finished,4.0,101.0,1781566826.110536,101.0,0.34957494652791427,0.35014835879206657,0.8312356059992179,0.9363239850987104,,0.3503079400459925,0.8321927893136865,0.9358970788445924,0.10914262384176254,0.2256011739373207,0.11905847489833832,0.24457883834838867,0.09922677278518675,0.20662350952625275,0.1091144047677517,0.22527401894330976,0.1193755641579628,0.24469833076000216,0.0988532453775406,0.20584970712661743,0.72921258199554,0.8840449340791394,0.10914261639118196,0.7302037010471956,0.8837797955489641,0.1091144010424614,3.0,masked_bce,reduce_on_plateau,500.0,True,0.0001,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,0.0,0.7321924596705833
